"year","war","ccodea","ccodeb","original","contig.x","rivals","allies","democ_a","pow_prev","mil_prev","pow_abs","mil_abs","relpow","rate","powershift","lndistance","contig.y","dem","s_un_glo","peaceyrs","peaceyrs2","peaceyrs3","real"
1879,1,155,145,1,1,0,0,0,0.00152000004891306,0,0.00152000004891306,0,0.243974268436432,3.09,-0.0596002340316772,7.07580900192261,1,0,0.837837994098663,0,0,0,4.323255563
1879,1,155,135,0,1,0,0,0,-0.00769100012257695,-0.0218700002878904,0.00769100012257695,0.0218700002878904,0.704132914543152,3.09,0.0730143189430237,7.33563375473022,0,0,0.837837994098663,6,36,216,4.323255563
1881,0,230,220,1,1,0,0,0,-0.00109200004953891,-0.00222999998368323,0.00109200004953891,0.00222999998368323,0.187941327691078,2.925,0.00265997648239136,6.48616075515747,1,0,0.89189201593399,57,3249,185193,4.212530236
1882,1,200,651,1,0,0,0,1,0,0,0,0,0.0210257656872272,2.94,NA,7.68845558166504,0,NA,0.819819986820221,27,729,19683,4.241818348
1882,0,300,600,1,0,0,0,0,-0.000118999996630009,-0.000193900006706826,0.000118999996630009,0.000193900006706826,0.0303380936384201,2.94,0.00166981853544712,7.34213161468506,0,0,0.711712002754211,35,1225,42875,4.241818348
1883,1,220,710,1,0,1,0,1,0,0,0,0,0.944630920886993,2.85,0.0196593999862671,8.53875923156738,0,0,0.888889014720917,0,0,0,4.161277404
1885,0,300,90,1,0,0,0,0,0,0,0,0,0.00664849486202002,2.8625,-0.00883739814162254,8.73536396026611,0,0,0.648148000240326,17,289,4913,4.106203827
1885,1,90,92,1,1,0,0,0,0.017000000923872,0.0359999984502792,0.017000000923872,0.0359999984502792,0.673248291015625,2.8625,-0.395928204059601,4.6913480758667,1,0,0.888889014720917,8,64,512,4.106203827
1887,0,145,160,1,1,0,0,0,0.00307000009343028,0,0.00307000009343028,0,0.173983260989189,2.75,-0.0021512508392334,7.23128700256348,1,0,0.894737005233765,20,400,8000,3.746625632
1888,0,200,630,1,0,0,0,1,0.00170000002253801,0.00671999994665384,0.00170000002253801,0.00671999994665384,0.0268972180783749,2.6425,-0.0147040486335754,7.91425228118896,0,0,0.789474010467529,30,900,27000,3.485260503
1888,0,200,130,1,0,0,0,1,8.52000011946075e-05,0.000323999993270263,8.52000011946075e-05,0.000323999993270263,0.00166860269382596,2.6425,-0.00419034156948328,8.65486621856689,0,0,0.789474010467529,34,1156,39304,3.485260503
1889,0,160,255,1,0,0,0,0,-0.000794299994595349,-0.00174400000832975,0.000794299994595349,0.00174400000832975,0.0269775129854679,2.645,0.00207227468490601,8.9112606048584,0,0,0.701753973960876,48,2304,110592,3.339169134
1889,0,365,100,1,0,0,0,0,0,0,0,0,0.00847747456282377,2.645,-0.00128685124218464,8.82261657714844,0,0,0.859649002552032,58,3364,195112,3.339169134
1890,0,300,70,1,0,0,0,0,0,0,0,0,0.127310112118721,2.6875,-0.0352011993527412,8.7503662109375,0,0,0.649123013019562,59,3481,205379,3.258994024
1890,0,145,220,1,0,0,0,0,0,0.000195999993593432,0,0.000195999993593432,0.00431693345308304,2.6875,3.99351119995117e-05,8.73825454711914,0,0,0.894737005233765,42,1764,74088,3.258994024
1891,0,380,220,1,0,0,0,0,-0.000490200007334352,0,0.000490200007334352,0,0.103529289364815,2.7025,0.00209909677505493,6.86693334579468,0,0,0.859649002552032,77,5929,456533,3.185657648
1893,0,145,200,1,0,0,0,0,0,0.000353999988874421,0,0.000353999988874421,0.00213906820863485,2.62,0.00222229957580566,8.73552513122559,0,0,0.789474010467529,45,2025,91125,2.974808828
1893,0,325,155,1,0,0,0,0,0,0,0,0,0.0641096159815788,2.62,0.00578741915524006,8.91018104553223,0,0,0.684211015701294,9,81,729,2.974808828
1893,1,220,800,1,0,0,0,1,0,-0.000869999988935888,0,0.000869999988935888,0.0207150839269161,2.62,-0.00530021404847503,8.6784610748291,0,0,0.842104971408844,6,36,216,2.974808828
1894,1,740,710,1,0,1,0,0,-0.000863099994603544,-0.00564099987968802,0.000863099994603544,0.00564099987968802,0.199435487389565,2.54,-0.0277332067489624,7.17472410202026,0,0,0.846153974533081,8,64,512,2.813076551
1894,0,200,360,1,0,0,0,1,0.000670999987050891,0.0016499999910593,0.000670999987050891,0.0016499999910593,0.0220487527549267,2.54,-0.0020025372505188,7.17011976242065,0,0,0.709402024745941,16,256,4096,2.813076551
1894,0,380,365,1,0,0,0,0,0,-0.000606700021307915,0,0.000606700021307915,0.105436354875565,2.54,0.0027165412902832,6.63856792449951,1,0,0.829060018062592,84,7056,592704,2.813076551
1895,0,92,255,1,0,0,0,0,-7.3859999247361e-05,-0.000221700000111014,7.3859999247361e-05,0.000221700000111014,0.00252718827687204,2.4075,-0.0020948052406311,8.69784641265869,0,0,0.743589997291565,20,400,8000,2.567949327
1896,0,740,230,1,0,0,0,0,-0.00387099990621209,-0.0183499995619059,0.00387099990621209,0.0183499995619059,0.911505103111267,2.3025,-0.0642595589160919,8.80926513671875,0,0,0.897436022758484,36,1296,46656,2.32857918
1896,0,230,365,1,0,0,0,0,0,0,0,0,0.203198418021202,2.3025,0.0100456476211548,7.66856098175049,0,0,0.794871985912323,72,5184,373248,2.32857918
1896,0,365,150,1,0,0,0,0,2.04999996640254e-05,3.40000005962793e-05,2.04999996640254e-05,3.40000005962793e-05,0.00118902290705591,2.3025,0.0141158495098352,8.96877861022949,0,0,0.794871985912323,20,400,8000,2.32857918
